Top pages,Clicks,Impressions,CTR,Position
https://makanmenus.my/fast-food/burger-king-menu/,9,462,1.95%,7.56
https://makanmenus.my/coffee-bakeries/starbucks-menu/,8,765,1.05%,9.53
https://makanmenus.my/fast-food/texas-chicken-menu/,6,246,2.44%,10.06
https://makanmenus.my/fast-food/mcdonalds-menu/,5,370,1.35%,15.1
https://makanmenus.my/teas-desserts/suka-dessert-menu/,4,217,1.84%,6.49
https://makanmenus.my/,4,79,5.06%,7.58
https://makanmenus.my/fast-food/kfc-menu/,3,567,0.53%,14.52
https://makanmenus.my/fast-food/aw-menu/,3,179,1.68%,9.53
https://makanmenus.my/coffee-bakeries/oriental-kopi-menu/,3,83,3.61%,15.41
https://makanmenus.my/fast-food/4fingers-menu/,2,505,0.4%,8.67
https://makanmenus.my/fast-food/jollibee-menu/,2,228,0.88%,9.3
https://makanmenus.my/local-asian/thong-bowl-menu/,2,92,2.17%,9.51
https://makanmenus.my/teas-desserts/ai-cha-menu/,2,70,2.86%,7.83
https://makanmenus.my/fast-food/,2,56,3.57%,10.38
https://makanmenus.my/japanese-korean/sushi-king-menu/,2,7,28.57%,17.57
https://makanmenus.my/teas-desserts/bingxue-menu/,1,281,0.36%,8.34
https://makanmenus.my/coffee-bakeries/zus-coffee-menu/,1,189,0.53%,9.62
https://makanmenus.my/teas-desserts/chagee-menu/,1,185,0.54%,8.24
https://makanmenus.my/fast-food/marrybrown-menu/,1,157,0.64%,10.4
https://makanmenus.my/coffee-bakeries/coffee-bean-tea-leaf-menu/,1,100,1%,12.73
https://makanmenus.my/local-asian/oldtown-white-coffee-menu/,1,89,1.12%,9.78
https://makanmenus.my/local-asian/damascus-bukit-bintang-menu/,1,70,1.43%,9.56
https://makanmenus.my/teas-desserts/we-drink-menu/,1,43,2.33%,6.6
https://makanmenus.my/local-asian/madam-kwans-menu/,1,42,2.38%,8.1
https://makanmenus.my/about/,1,37,2.7%,2
https://makanmenus.my/japanese-korean/myeongdong-topokki-menu/,1,2,50%,5.5
https://makanmenus.my/japanese-korean/don-omakase-menu/,0,69,0%,7.87
https://makanmenus.my/local-asian/papparich-menu/,0,69,0%,12.81
https://makanmenus.my/teas-desserts/mixue-menu/,0,15,0%,6.07
https://makanmenus.my/teas-desserts/gong-cha-menu/,0,11,0%,8.18
https://makanmenus.my/japanese-korean/oiso-menu/,0,11,0%,8.36
https://makanmenus.my/japanese-korean/sushi-zanmai-menu/,0,7,0%,13.43
https://makanmenus.my/japanese-korean/mr-dakgalbi-menu/,0,5,0%,8.8
https://makanmenus.my/japanese-korean/empire-sushi-menu/,0,4,0%,11.75
https://makanmenus.my/teas-desserts/llaollao-menu/,0,3,0%,25.67
https://makanmenus.my/japanese-korean/sopoong-menu/,0,2,0%,5